id;ner_documento
1;[[0, [['Brasil', 'LOC', 0, 6], ['5 Plano de Ação Nacional de Governo Aberto', 'MISC', 28, 70]]]]
2;[[0, [['CGU', 'ORG', 0, 3]]]]
3;[[0, [['Covid', 'LOC', 0, 5], ['PF', 'ORG', 17, 19], ['Secretaria de Saúde do Piauí', 'LOC', 46, 74]]]]
4;[[0, [['Covid', 'LOC', 0, 5], ['PF', 'ORG', 17, 19], ['Piauí', 'LOC', 59, 64]]]]
5;[[0, [['Conselho de Serviços Públicos', 'ORG', 43, 72]]]]
6;[[0, [['GT', 'ORG', 35, 37]]]]
7;[[0, [['CGU', 'ORG', 21, 24], ['Portal', 'ORG', 33, 39], ['OMS', 'ORG', 43, 46], ['Covid', 'LOC', 67, 72]]]]
8;[[0, [['Tecnologia da Informação', 'ORG', 53, 77]]]]
9;[[0, [['CGU', 'ORG', 0, 3], ['Maranhão', 'LOC', 7, 15], ['100 Primeiros Dias da Gestão', 'MISC', 41, 69]]]]
10;[[0, [['Portal da Transparência do Governo Federal', 'ORG', 27, 69]]]]
11;[[0, [['Atualização das Despesas Públicas no Portal da Transparência', 'MISC', 0, 60]]]]
12;[[0, [['CGU', 'ORG', 0, 3], ['Relatório de Gestão Fiscal', 'MISC', 12, 38]]]]
13;[[0, [['GT - tica', 'ORG', 0, 9]]]]
14;[[0, [['Paraíba', 'LOC', 71, 78]]]]
15;[[0, [['Covid', 'LOC', 0, 5], ['PF', 'ORG', 17, 19], ['Rio de Janeiro', 'LOC', 52, 66]]]]
16;[[0, [['Fundo de Financiamento do Ensino Superior', 'ORG', 16, 57]]]]
17;[[0, [['5 Plano de Ação Nacional de Governo Aberto', 'MISC', 50, 92]]]]
18;[[0, [['LENI NCIA', 'PER', 0, 9]]], [1, [['CGU', 'ORG', 0, 3], ['AGU', 'ORG', 5, 8], ['MPF', 'ORG', 11, 14], ['Samsung Heavy Industries', 'ORG', 37, 61]]]]
19;[[0, [['CGU', 'ORG', 0, 3], ['COVID', 'ORG', 51, 56]]]]
20;[[0, [['CGU', 'ORG', 0, 3], ['PF', 'ORG', 6, 8], ['Araguaína', 'LOC', 47, 56]]]]
21;[[0, []]]
22;[[0, [['CGU', 'ORG', 82, 85]]]]
23;[[0, []], [1, [['CGU', 'ORG', 59, 62]]]]
24;[[0, [['Covid', 'LOC', 0, 5], ['PF', 'ORG', 17, 19], ['Pinheiro MA', 'LOC', 49, 60]]]]
25;[[0, [['CGU', 'ORG', 0, 3], ['Reunião da Comissão de Coordenação de Controle Interno', 'ORG', 15, 69]]]]
26;[[0, [['Plano de Integridade da Dataprev', 'MISC', 43, 75]]]]
27;[[0, [['CGU', 'ORG', 68, 71], ['Ipea', 'LOC', 74, 78]]]]
28;[[0, [['Atualização das Despesas Públicas no Portal da Transparência', 'MISC', 0, 60]]]]
29;[[0, [['SFC', 'ORG', 0, 3], ['Jornada do Auditor Interno Governamental', 'MISC', 24, 64]]]]
30;[[0, [['CGU', 'ORG', 0, 3], ['Diretoria de Tecnologia da Informação', 'ORG', 38, 75]]]]
31;[[0, [['Dia do Ouvidor', 'MISC', 33, 47]]]]
32;[[0, [['CGU', 'ORG', 0, 3], ['Sistema de Ouvidorias do Executivo Federal', 'ORG', 33, 75]]]]
33;[[0, [['Governo Federal', 'LOC', 0, 15]]]]
34;[[0, [['Revista da CGU', 'ORG', 0, 14], ['Estado', 'LOC', 80, 86]]]]
35;[[0, [['CGU', 'ORG', 0, 3], ['Escala Brasil Transparente -', 'MISC', 37, 65]]]]
36;[[0, [['STPC', 'MISC', 0, 4], ['Diálogos em Controle Social', 'MISC', 50, 77]]]]
37;[[0, [['CGU', 'ORG', 0, 3], ['Plano Anticorrupção do Governo Federal', 'MISC', 26, 64]]]]
38;[[0, [['CGU', 'ORG', 0, 3], ['Tomadas de Contas Especiais', 'MISC', 45, 72]]]]
39;[[0, []]]
40;[[0, [['Rede Nacional de Ouvidorias', 'ORG', 0, 27], ['LGPD', 'PER', 47, 51]]]]
41;[[0, [['CGU', 'ORG', 22, 25], ['R', 'MISC', 34, 35]]]]
42;[[0, [['LAI', 'MISC', 44, 47], ['LGPD', 'MISC', 53, 57], ['CGU', 'ORG', 76, 79]]]]
43;[[0, []], [1, []]]
44;[[0, [['Brasil', 'LOC', 46, 52]]]]
45;[[0, [['GT', 'ORG', 0, 2], ['Comissão de tica Pública', 'ORG', 49, 73]]]]
46;[[0, [['Governo Federal', 'LOC', 0, 15], ['Dia Mundial da gua', 'MISC', 26, 44], ['Seminário das guas', 'ORG', 57, 75]]], [1, [['Brasileiras', 'LOC', 0, 11]]]]
47;[[0, []], [1, [['Conselho de Usuários de Serviços Públicos', 'ORG', 0, 41]]]]
48;[[0, [['da CGU', 'LOC', 9, 15]]]]
49;[[0, [['Governo Federal', 'LOC', 0, 15]]], [1, []]]
50;[[0, [['CGU', 'ORG', 0, 3]]]]
51;[[0, []]]
52;[[0, [['CGU', 'ORG', 0, 3], ['Brasil', 'LOC', 60, 66]]]]
53;[[0, [['Revista da CGU', 'ORG', 0, 14]]]]
54;[[0, [['Wagner Rosário', 'PER', 0, 14]]]]
55;[[0, [['Relatório de Gestão 2020', 'ORG', 35, 59]]]]
56;[[0, [['Relatório de Gestão', 'ORG', 39, 58]]]]
57;[[0, [['CGU', 'ORG', 0, 3], ['Infraestrutura Nacional de Dados Abertos', 'MISC', 34, 74]]]]
58;[[0, [['Revista da CGU', 'ORG', 0, 14]]]]
59;[[0, [['CGU', 'ORG', 0, 3], ['Diálogos em Controle Social', 'MISC', 40, 67]]]]
60;[[0, [['CGU', 'ORG', 0, 3], ['PF', 'ORG', 5, 7], ['MPF', 'ORG', 10, 13], ['Incra', 'LOC', 46, 51]]]]
61;[[0, [['CGU', 'ORG', 0, 3], ['Prestação de Contas do Presidente da República de 2020', 'MISC', 12, 66]]]]
62;[[0, [['CGU', 'ORG', 0, 3], ['PF', 'ORG', 6, 8], ['Pernambuco', 'LOC', 65, 75]]]]
63;[[0, [['CGU', 'ORG', 0, 3], ['Plano Anual de Auditoria Interna', 'MISC', 42, 74]]]]
64;[[0, [['CGU', 'ORG', 0, 3], ['Polícia Federal', 'LOC', 6, 21], ['Operação Rota BR', 'MISC', 51, 67]]]]
65;[[0, [['Covid', 'LOC', 0, 5], ['PF', 'ORG', 17, 19], ['Rio Branco', 'LOC', 61, 71]]], [1, [['AC', 'ORG', 0, 2]]]]
66;[[0, [['Polícias Federal', 'LOC', 0, 16], ['Civil', 'LOC', 18, 23], ['Militar', 'LOC', 26, 33], ['Salvador', 'LOC', 96, 104]]]]
67;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Amazonas', 'LOC', 63, 71]]]]
68;[[0, [['PF', 'ORG', 0, 2], ['BPFRON', 'MISC', 5, 11], ['Foz do Iguaçu', 'LOC', 62, 75]]]]
69;[[0, [['PF', 'ORG', 0, 2]]]]
70;[[0, [['PF', 'ORG', 0, 2], ['Acre', 'LOC', 72, 76]]]]
