id;pos_documento
1;[[['Brasil', 'inicia', 'construção', 'do', '5', 'Plano', 'de', 'Ação', 'Nacional', 'de', 'Governo', 'Aberto'], ['PROPN', 'VERB', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN'], ['inicia'], ['Brasil', 'iniciar', 'construção', 'de o', '5', 'Plano', 'de', 'Ação', 'Nacional', 'de', 'Governo', 'Aberto']]]
2;[[['CGU', 'apoia', 'evento', 'para', 'criação', 'de', 'laboratórios', 'de', 'inovação', 'no', 'setor', 'público'], ['PROPN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ'], ['apoia'], ['CGU', 'apoiar', 'evento', 'para', 'criação', 'de', 'laboratório', 'de', 'inovação', 'em o', 'setor', 'público']]]
3;[[['Covid', '-', '19', 'CGU', 'e', 'PF', 'apuram', 'irregularidades', 'na', 'Secretaria', 'de', 'Saúde', 'do', 'Piauí'], ['PROPN', 'PUNCT', 'NUM', 'PROPN', 'CCONJ', 'PROPN', 'VERB', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN'], ['apuram'], ['Covid', '-', '19', 'CGU', 'e', 'PF', 'apurar', 'irregularidade', 'em o', 'Secretaria', 'de', 'Saúde', 'de o', 'Piauí']]]
4;[[['Covid', '-', '19', 'CGU', 'e', 'PF', 'aprofundam', 'investigações', 'de', 'fraudes', 'no', 'Piauí'], ['PROPN', 'PUNCT', 'NUM', 'PROPN', 'CCONJ', 'PROPN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN'], ['aprofundam'], ['Covid', '-', '19', 'CGU', 'e', 'PF', 'aprofundar', 'investigação', 'de', 'fraude', 'em o', 'Piauí']]]
5;[[['CGU', 'convida', 'cidadãos', 'a', 'participarem', 'do', 'seu', 'Conselho', 'de', 'Serviços', 'Públicos'], ['PROPN', 'VERB', 'NOUN', 'SCONJ', 'VERB', 'ADP', 'DET', 'PROPN', 'ADP', 'PROPN', 'PROPN'], ['convida', 'participarem'], ['CGU', 'convidar', 'cidadão', 'a', 'participar', 'de o', 'seu', 'Conselho', 'de', 'Serviços', 'Públicos']]]
6;[[['Definido', 'cronograma', 'de', 'trabalho', 'do', 'GT', 'que', 'revisará', 'códigos', 'de', 'ética', 'do', 'governo', 'federal'], ['VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PRON', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ'], ['Definido', 'revisará'], ['definido', 'cronograma', 'de', 'trabalho', 'de o', 'GT', 'que', 'revisar', 'código', 'de', 'ética', 'de o', 'governo', 'federal']]]
7;[[['Artigo', 'da', 'Revista', 'da', 'CGU', 'integra', 'Portal', 'da', 'OMS', 'de', 'literatura', 'sobre', 'Covid', '-', '19'], ['NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'VERB', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'NUM'], ['integra'], ['artigo', 'de o', 'Revista', 'de o', 'CGU', 'integrar', 'Portal', 'de o', 'OMS', 'de', 'literatura', 'sobre', 'Covid', '-', '19']]]
8;[[['CGU', 'seleciona', 'servidores', 'federais', 'para', 'sua', 'equipe', 'de', 'Tecnologia', 'da', 'Informação'], ['PROPN', 'VERB', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN'], ['seleciona'], ['CGU', 'selecionar', 'servidor', 'federal', 'para', 'seu', 'equipe', 'de', 'Tecnologia', 'de o', 'Informação']]]
9;[[['CGU', 'no', 'Maranhão', 'realiza', 'oficina', 'sobre', 'os', '100', 'Primeiros', 'Dias', 'da', 'Gestão', 'Municipal'], ['PROPN', 'ADP', 'PROPN', 'VERB', 'NOUN', 'ADP', 'DET', 'NUM', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'ADJ'], ['realiza'], ['CGU', 'em o', 'Maranhão', 'realizar', 'oficina', 'sobre', 'o', '100', 'Primeiros', 'Dias', 'de o', 'Gestão', 'Municipal']]]
10;[[['Instabilidade', 'de', 'acesso', 'ao', 'Portal', 'da', 'Transparência', 'do', 'Governo', 'Federal'], ['PROPN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'PROPN'], [], ['Instabilidade', 'de', 'acesso', 'a o', 'Portal', 'de o', 'Transparência', 'de o', 'Governo', 'Federal']]]
11;[[['Atualização', 'das', 'Despesas', 'Públicas', 'no', 'Portal', 'da', 'Transparência'], ['NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN'], [], ['atualização', 'de o', 'Despesas', 'Públicas', 'em o', 'Portal', 'de o', 'Transparência']]]
12;[[['CGU', 'publica', 'Relatório', 'de', 'Gestão', 'Fiscal', 'do', 'terceiro', 'quadrimestre', 'de', '2020'], ['PROPN', 'VERB', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NUM'], ['publica'], ['CGU', 'publicar', 'Relatório', 'de', 'Gestão', 'Fiscal', 'de o', 'terceiro', 'quadrimestre', 'de', '2020']]]
13;[[['GT', '-', 'tica', 'inclui', 'entrevistas', 'com', 'especialistas', 'no', 'processo', 'de', 'reformulação', 'das', 'normas', 'federais'], ['PROPN', 'PUNCT', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ'], ['inclui'], ['GT', '-', 'tica', 'incluir', 'entrevista', 'com', 'especialista', 'em o', 'processo', 'de', 'reformulação', 'de o', 'norma', 'federal']]]
14;[[['Força', '-', 'tarefa', 'combate', 'fraudes', 'no', 'fornecimento', 'de', 'material', 'didático', 'na', 'Paraíba'], ['PROPN', 'PUNCT', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'PROPN'], ['combate'], ['Força', '-', 'tarefa', 'combater', 'fraude', 'em o', 'fornecimento', 'de', 'material', 'didático', 'em o', 'Paraíba']]]
15;[[['Covid', '-', '19', 'CGU', 'e', 'PF', 'combatem', 'desvios', 'de', 'recursos', 'no', 'Rio', 'de', 'Janeiro'], ['PROPN', 'PUNCT', 'NUM', 'PROPN', 'CCONJ', 'PROPN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN'], ['combatem'], ['Covid', '-', '19', 'CGU', 'e', 'PF', 'combater', 'desvio', 'de', 'recurso', 'em o', 'Rio', 'de', 'Janeiro']]]
16;[[['Investigação', 'no', 'Fundo', 'de', 'Financiamento', 'do', 'Ensino', 'Superior', 'FIES'], ['PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'PROPN'], [], ['Investigação', 'em o', 'Fundo', 'de', 'Financiamento', 'de o', 'Ensino', 'Superior', 'FIES']]]
17;[[['Está', 'aberta', 'consulta', 'para', 'priorização', 'de', 'temas', 'do', '5', 'Plano', 'de', 'Ação', 'Nacional', 'de', 'Governo', 'Aberto'], ['AUX', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN'], ['Está aberta'], ['estar', 'aberto', 'consulta', 'para', 'priorização', 'de', 'tema', 'de o', '5', 'Plano', 'de', 'Ação', 'Nacional', 'de', 'Governo', 'Aberto']]]
18;[[['LENI', 'NCIA'], ['PROPN', 'PUNCT'], [], ['LENI', 'NCIA']], [['CGU', ',', 'AGU', 'e', 'MPF', 'celebram', 'acordo', 'com', 'a', 'Samsung', 'Heavy', 'Industries'], ['PROPN', 'PUNCT', 'PROPN', 'CCONJ', 'PROPN', 'VERB', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN'], ['celebram'], ['CGU', ',', 'AGU', 'e', 'MPF', 'celebrar', 'acordo', 'com', 'o', 'Samsung', 'Heavy', 'Industries']]]
19;[[['CGU', 'realiza', 'encontro', 'virtual', 'sobre', 'enfrentamento', 'à', 'COVID', '-', '19', 'e', 'participação', 'social'], ['PROPN', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'NUM', 'CCONJ', 'NOUN', 'ADJ'], ['realiza'], ['CGU', 'realizar', 'encontro', 'virtual', 'sobre', 'enfrentamento', 'a o', 'COVID', '-', '19', 'e', 'participação', 'social']]]
20;[[['CGU', 'e', 'PF', 'combatem', 'superfaturamento', 'na', 'saúde', 'em', 'Araguaína', 'TO'], ['PROPN', 'CCONJ', 'PROPN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PROPN'], ['combatem'], ['CGU', 'e', 'PF', 'combater', 'superfaturamento', 'em o', 'saúde', 'em', 'Araguaína', 'TO']]]
21;[[['Estudo', 'comparado', 'de', 'códigos', 'de', 'ética', 'nacionais', 'e', 'internacionais', 'balizam', 'revisão', 'de', 'normas', 'federais'], ['NOUN', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADJ'], ['comparado', 'balizam'], ['estudo', 'comparar', 'de', 'código', 'de', 'ética', 'nacional', 'e', 'internacional', 'balizar', 'revisão', 'de', 'norma', 'federal']]]
22;[[['Combate', 'à', 'corrupção', 'exige', 'especialização', 'e', 'trabalho', 'conjunto', ',', 'defende', 'ministro', 'da', 'CGU'], ['NOUN', 'ADP', 'NOUN', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'PROPN'], ['exige', 'defende'], ['combate', 'a o', 'corrupção', 'exigir', 'especialização', 'e', 'trabalho', 'conjunto', ',', 'defender', 'ministro', 'de o', 'CGU']]]
23;[[['LAI'], ['PROPN'], [], ['LAI']], [['Tratamento', 'de', 'dados', 'pessoais', 'é', 'tema', 'de', 'nova', 'capacitação', 'da', 'CGU'], ['NOUN', 'ADP', 'NOUN', 'ADJ', 'AUX', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'PROPN'], [], ['tratamento', 'de', 'dado', 'pessoal', 'ser', 'tema', 'de', 'novo', 'capacitação', 'de o', 'CGU']]]
24;[[['Covid', '-', '19', 'CGU', 'e', 'PF', 'combatem', 'desvios', 'da', 'saúde', 'em', 'Pinheiro', 'MA'], ['PROPN', 'PUNCT', 'NUM', 'PROPN', 'CCONJ', 'PROPN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PROPN'], ['combatem'], ['Covid', '-', '19', 'CGU', 'e', 'PF', 'combater', 'desvio', 'de o', 'saúde', 'em', 'Pinheiro', 'MA']]]
