Documento	Id
Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto	1
CGU apoia evento para criação de laboratórios de inovação no setor público	2
Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí	3
Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí	4
CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos	5
Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal	6
Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19	7
CGU seleciona servidores federais para sua equipe de Tecnologia da Informação	8
CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal	9
Instabilidade de acesso ao Portal da Transparência do Governo Federal	10
Atualização das Despesas Públicas no Portal da Transparência	11
CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020	12
GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais	13
Força - tarefa combate fraudes no fornecimento de material didático na Paraíba	14
Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro	15
Investigação no Fundo de Financiamento do Ensino Superior FIES	16
Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto	17
LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries	18
CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social	19
CGU e PF combatem superfaturamento na saúde em Araguaína TO	20
Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais	21
Combate à corrupção exige especialização e trabalho conjunto , defende ministro da CGU	22
LAI Tratamento de dados pessoais é tema de nova capacitação da CGU	23
Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA	24
CGU realiza 16 Reunião da Comissão de Coordenação de Controle Interno	25
Ministro da CGU participa de lançamento do Plano de Integridade da Dataprev	26
Chamada pública seleciona pesquisadores para projeto realizado pela CGU e Ipea	27
Atualização das Despesas Públicas no Portal da Transparência	28
SFC lança o infográfico Jornada do Auditor Interno Governamental	29
CGU divulga resultado de seleção para Diretoria de Tecnologia da Informação	30
OGU promove debates em alusão ao Dia do Ouvidor	31
CGU publica norma operacional do Sistema de Ouvidorias do Executivo Federal	32
Governo Federal atinge a marca de 1 milhão de pedidos de acesso à informação	33
Revista da CGU abre chamada para dossiê especial sobre regulação na melhoria do Estado	34
CGU divulga resultado da 2 edição da Escala Brasil Transparente - Avaliação 360	35
STPC realiza primeiro encontro virtual de 2021 do Diálogos em Controle Social	36
CGU conclui três ações do Plano Anticorrupção do Governo Federal	37
CGU abre consulta pública sobre normativo de Tomadas de Contas Especiais	38
Prosa de Ouvidoria Lei Geral de Proteção de Dados Pessoais foi tema do 1 dia	39
Rede Nacional de Ouvidorias promove live sobre LGPD	40
Ações de auditoria da CGU somaram R 17 , 9 bilhões em benefícios financeiros em 2020	41
Tratamento da informação pessoal em face da LAI e da LGPD é tema de live na CGU	42
Prosa de Ouvidoria Modelos para medir maturidade de gestão foi tema do 2 dia	43
Prosa de Ouvidoria Proteção ao denunciante no Brasil foi tema do 3 dia	44
GT - tica se reúne para tratar de precedentes da Comissão de tica Pública	45
Governo Federal celebra o Dia Mundial da gua e promove o Seminário das guas Brasileiras	46
Prosa de Ouvidoria Conselho de Usuários de Serviços Públicos foi tema do 4 dia	47
Ministro da CGU apresenta a importância da ética e do controle interno para a boa gestão pública	48
Governo Federal analisa se vacinas estão sendo aplicadas nas pessoas certas	49
CGU realiza evento sobre combate ao assédio sexual no ambiente de trabalho	50
Prosa de Ouvidoria Soluções para inteligência artificial foi tema do último dia	51
CGU participa de live sobre o enfrentamento da corrupção no Brasil	52
Revista da CGU seleciona pesquisadores para compor cadastro de revisores	53
Wagner Rosário fala sobre os desafios do gestor público no combate à corrupção	54
Ouvidoria - Geral da União divulga Relatório de Gestão 2020	55
Controladoria - Geral da União publica Relatório de Gestão de 2020	56
CGU publica novo plano de ação da Infraestrutura Nacional de Dados Abertos	57
Revista da CGU lança plano editorial para biênio 2021 - 2022	58
CGU realiza segundo encontro virtual do Diálogos em Controle Social	59
CGU , PF e MPF combatem desvios de recursos no Incra do Amazonas	60
CGU divulga Prestação de Contas do Presidente da República de 2020	61
CGU e PF combatem fraudes na aquisição de materiais escolares em Pernambuco	62
CGU abre consulta para aprimorar norma do Plano Anual de Auditoria Interna	63
CGU e Polícia Federal deflagram mais duas fases da Operação Rota BR 090	64
Covid - 19 CGU e PF reforçam apuração de desvios na saúde em Rio Branco AC	65
Polícias Federal , Civil e Militar prendem investigados por assaltos a instituições bancárias em Salvador	66
Polícia Federal apreende mais de três toneladas de pirarucu no Amazonas	67
PF e BPFRON localizam depósito de produtos contrabandeados em Foz do Iguaçu PR	68
