Token	POS-Tag	OOV	Id	Index	Documento
Brasil	PROPN	0	1	0	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
inicia	VERB	0	1	1	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
construção	NOUN	0	1	2	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
do	ADP	0	1	3	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
5	PROPN	0	1	4	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
Plano	PROPN	0	1	5	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
de	ADP	0	1	6	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
Ação	PROPN	0	1	7	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
Nacional	PROPN	0	1	8	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
de	ADP	0	1	9	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
Governo	PROPN	0	1	10	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
Aberto	PROPN	0	1	11	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
CGU	PROPN	1	2	0	CGU apoia evento para criação de laboratórios de inovação no setor público
apoia	VERB	0	2	1	CGU apoia evento para criação de laboratórios de inovação no setor público
evento	NOUN	0	2	2	CGU apoia evento para criação de laboratórios de inovação no setor público
para	ADP	0	2	3	CGU apoia evento para criação de laboratórios de inovação no setor público
criação	NOUN	0	2	4	CGU apoia evento para criação de laboratórios de inovação no setor público
de	ADP	0	2	5	CGU apoia evento para criação de laboratórios de inovação no setor público
laboratórios	NOUN	0	2	6	CGU apoia evento para criação de laboratórios de inovação no setor público
de	ADP	0	2	7	CGU apoia evento para criação de laboratórios de inovação no setor público
inovação	NOUN	0	2	8	CGU apoia evento para criação de laboratórios de inovação no setor público
no	ADP	0	2	9	CGU apoia evento para criação de laboratórios de inovação no setor público
setor	NOUN	0	2	10	CGU apoia evento para criação de laboratórios de inovação no setor público
público	ADJ	0	2	11	CGU apoia evento para criação de laboratórios de inovação no setor público
Covid	PROPN	1	3	0	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
-	PUNCT	0	3	1	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
19	NUM	0	3	2	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
CGU	PROPN	1	3	3	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
e	CCONJ	0	3	4	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
PF	PROPN	1	3	5	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
apuram	VERB	1	3	6	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
irregularidades	NOUN	1	3	7	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
na	ADP	0	3	8	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
Secretaria	PROPN	0	3	9	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
de	ADP	0	3	10	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
Saúde	PROPN	0	3	11	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
do	ADP	0	3	12	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
Piauí	PROPN	0	3	13	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
Covid	PROPN	1	4	0	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
-	PUNCT	0	4	1	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
19	NUM	0	4	2	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
CGU	PROPN	1	4	3	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
e	CCONJ	0	4	4	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
PF	PROPN	1	4	5	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
aprofundam	VERB	1	4	6	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
investigações	NOUN	0	4	7	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
de	ADP	0	4	8	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
fraudes	NOUN	1	4	9	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
no	ADP	0	4	10	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
Piauí	PROPN	0	4	11	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
CGU	PROPN	1	5	0	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
convida	VERB	0	5	1	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
cidadãos	NOUN	0	5	2	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
a	SCONJ	0	5	3	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
participarem	VERB	1	5	4	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
do	ADP	0	5	5	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
seu	DET	0	5	6	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
Conselho	PROPN	0	5	7	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
de	ADP	0	5	8	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
Serviços	PROPN	0	5	9	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
Públicos	PROPN	1	5	10	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
Definido	VERB	1	6	0	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
cronograma	NOUN	1	6	1	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
de	ADP	0	6	2	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
trabalho	NOUN	0	6	3	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
do	ADP	0	6	4	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
GT	PROPN	0	6	5	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
que	PRON	0	6	6	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
revisará	VERB	1	6	7	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
códigos	NOUN	0	6	8	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
de	ADP	0	6	9	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
ética	NOUN	0	6	10	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
do	ADP	0	6	11	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
governo	NOUN	0	6	12	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
federal	ADJ	0	6	13	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
Artigo	NOUN	1	7	0	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
da	ADP	0	7	1	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
Revista	NOUN	0	7	2	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
da	ADP	0	7	3	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
CGU	PROPN	1	7	4	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
integra	VERB	0	7	5	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
Portal	NOUN	1	7	6	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
da	ADP	0	7	7	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
OMS	PROPN	1	7	8	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
de	ADP	0	7	9	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
literatura	NOUN	0	7	10	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
sobre	ADP	0	7	11	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
Covid	PROPN	1	7	12	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
-	PUNCT	0	7	13	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
19	NUM	0	7	14	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
CGU	PROPN	1	8	0	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
seleciona	VERB	1	8	1	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
servidores	NOUN	0	8	2	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
federais	ADJ	0	8	3	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
para	ADP	0	8	4	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
sua	DET	0	8	5	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
equipe	NOUN	0	8	6	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
de	ADP	0	8	7	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
Tecnologia	PROPN	0	8	8	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
da	ADP	0	8	9	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
Informação	PROPN	0	8	10	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
CGU	PROPN	1	9	0	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
no	ADP	0	9	1	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
Maranhão	PROPN	0	9	2	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
realiza	VERB	0	9	3	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
oficina	NOUN	0	9	4	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
sobre	ADP	0	9	5	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
os	DET	0	9	6	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
100	NUM	0	9	7	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
Primeiros	PROPN	1	9	8	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
Dias	PROPN	0	9	9	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
da	ADP	0	9	10	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
Gestão	PROPN	0	9	11	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
Municipal	ADJ	0	9	12	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
Instabilidade	PROPN	1	10	0	Instabilidade de acesso ao Portal da Transparência do Governo Federal
de	ADP	0	10	1	Instabilidade de acesso ao Portal da Transparência do Governo Federal
acesso	NOUN	0	10	2	Instabilidade de acesso ao Portal da Transparência do Governo Federal
ao	ADP	0	10	3	Instabilidade de acesso ao Portal da Transparência do Governo Federal
Portal	PROPN	1	10	4	Instabilidade de acesso ao Portal da Transparência do Governo Federal
da	ADP	0	10	5	Instabilidade de acesso ao Portal da Transparência do Governo Federal
Transparência	PROPN	1	10	6	Instabilidade de acesso ao Portal da Transparência do Governo Federal
do	ADP	0	10	7	Instabilidade de acesso ao Portal da Transparência do Governo Federal
Governo	PROPN	0	10	8	Instabilidade de acesso ao Portal da Transparência do Governo Federal
Federal	PROPN	0	10	9	Instabilidade de acesso ao Portal da Transparência do Governo Federal
Atualização	NOUN	1	11	0	Atualização das Despesas Públicas no Portal da Transparência
das	ADP	0	11	1	Atualização das Despesas Públicas no Portal da Transparência
Despesas	PROPN	1	11	2	Atualização das Despesas Públicas no Portal da Transparência
